Id,total_steps,total_very_active_mins,total_fairly_active_mins,total_lightly_active_mins,total_calories
1644430081,218489,287,641,5354,84339
7086361926,290525,1320,786,4459,79557
4702921684,265734,159,807,7362,91932
3977333714,329537,567,1838,5243,45410
6290855005,163837,80,110,6596,75389
3372868164,137233,183,82,6558,38662
8877689391,497241,2048,308,7276,106028
2026352035,172573,3,8,7956,47760
5577150313,249133,2620,895,4438,100789
4319703577,225334,111,382,7092,63168
4020332650,70284,161,166,2385,73960
4057192912,15352,3,6,412,7895
8053475328,457662,2640,297,4680,91320
4445114986,148693,205,54,6482,67772
6962181067,303639,707,574,7620,61443
8792009665,53758,28,117,2662,56907
2022484408,352490,1125,600,7981,77809
8378563200,270249,1819,318,4839,106534
1927972279,28400,41,24,1196,67357
2320127002,146223,42,80,6144,53449
5553957443,266990,726,403,6392,58146
7007744171,294409,807,423,7299,66144
1503960366,375619,1200,594,6818,56309
8583815059,223154,300,688,4287,84693
4558609924,238239,322,425,8834,63031
2873212765,234229,437,190,9548,59426
4388161847,335232,718,631,7110,95910
6775888955,65512,286,385,1044,55426
1624580081,178061,269,180,4758,45984
1844505072,79982,4,40,3579,48778
6117666160,197308,44,57,8074,63312
2347167796,171354,243,370,4545,36782
8253242879,123161,390,272,2221,33972
