Id,date_new,sum_mets,Calories
1503960366,12-04-16,25241,1985
1624580081,12-04-16,17234,1432
1644430081,12-04-16,22768,3199
1844505072,12-04-16,21704,2030
1927972279,12-04-16,15599,2220
2022484408,12-04-16,23035,2390
2026352035,12-04-16,18830,1459
2320127002,12-04-16,23090,2124
2347167796,12-04-16,24924,2344
2873212765,12-04-16,22570,1982
3372868164,12-04-16,19118,1788
3977333714,12-04-16,20644,1450
4020332650,12-04-16,26521,3654
4057192912,12-04-16,18434,2286
4319703577,12-04-16,14400,2115
4388161847,12-04-16,14400,2955
4445114986,12-04-16,18392,2113
4558609924,12-04-16,20576,1909
4702921684,12-04-16,21040,2947
5553957443,12-04-16,22118,2026
5577150313,12-04-16,26431,3405
6117666160,12-04-16,14400,1496
6290855005,12-04-16,17890,2560
6775888955,12-04-16,14400,1841
6962181067,12-04-16,22065,1994
7007744171,12-04-16,27171,2937
7086361926,12-04-16,24496,2772
8053475328,12-04-16,26168,3186
8253242879,12-04-16,20620,2044
8378563200,12-04-16,24210,3635
8583815059,12-04-16,18896,2650
8792009665,12-04-16,17433,2044
8877689391,12-04-16,32010,3921
1503960366,13-04-16,22859,1797
1624580081,13-04-16,16990,1411
1644430081,13-04-16,20656,2902
1844505072,13-04-16,19880,1860
1927972279,13-04-16,15014,2151
2022484408,13-04-16,25074,2601
2026352035,13-04-16,19636,1521
2320127002,13-04-16,21782,2003
2347167796,13-04-16,21675,2038
2873212765,13-04-16,22820,2004
3372868164,13-04-16,22380,2093
3977333714,13-04-16,21286,1495
4020332650,13-04-16,14400,1981
4057192912,13-04-16,18566,2306
4319703577,13-04-16,17299,2135
4388161847,13-04-16,19246,3092
4445114986,13-04-16,18230,2095
4558609924,13-04-16,18560,1722
4702921684,13-04-16,20680,2898
5553957443,13-04-16,18759,1718
5577150313,13-04-16,19807,2551
6117666160,13-04-16,14400,1496
6290855005,13-04-16,20302,2905
6775888955,13-04-16,18778,2400
6962181067,13-04-16,19063,1718
7007744171,13-04-16,25369,2742
7086361926,13-04-16,22235,2516
8053475328,13-04-16,25796,3140
8253242879,13-04-16,19519,1935
8378563200,13-04-16,27168,4079
8583815059,13-04-16,18925,2654
8792009665,13-04-16,16499,1934
8877689391,13-04-16,29267,3566
1503960366,14-04-16,22589,1776
1624580081,14-04-16,18918,1572
1644430081,14-04-16,22960,3226
1844505072,14-04-16,22772,2130
1927972279,14-04-16,16633,2383
2022484408,14-04-16,22289,2312
2026352035,14-04-16,18461,1431
2320127002,14-04-16,18436,1696
2347167796,14-04-16,21376,2010
2873212765,14-04-16,21556,1893
3372868164,14-04-16,22082,2065
3977333714,14-04-16,20397,1433
4020332650,14-04-16,14515,2011
4057192912,14-04-16,14400,1776
4319703577,14-04-16,22733,2302
4388161847,14-04-16,22986,2998
4445114986,14-04-16,19091,2194
4558609924,14-04-16,20719,1922
4702921684,14-04-16,21308,2984
5553957443,14-04-16,25376,2324
5577150313,14-04-16,31804,4022
6117666160,14-04-16,14400,1496
6290855005,14-04-16,20632,2952
6775888955,14-04-16,19613,2507
6962181067,14-04-16,16313,1466
7007744171,14-04-16,24682,2668
