Id,total_sleep,total_time_inbed_min,calories
1503960366,9007,9580,46807
1644430081,1176,1384,11911
1844505072,1956,2883,5029
1927972279,2085,2189,11581
2026352035,14173,15054,43142
2320127002,61,69,1804
2347167796,6702,7370,29570
3977333714,8222,12912,43691
4020332650,2795,3038,25560
4319703577,12393,13051,52642
4388161847,9675,10229,75159
4445114986,10785,11671,61128
4558609924,638,700,10985
4702921684,11792,12375,85211
5553957443,14368,15682,58146
5577150313,11232,11976,92019
6117666160,8618,9183,44295
6775888955,1049,1107,7034
6962181067,13888,14450,61443
7007744171,137,143,4301
7086361926,10875,11194,63783
8053475328,891,905,9928
8378563200,14187,15466,110539
8792009665,6535,6807,34490
