Id,sedentary_mins,lightly_active_mins,fairly_active_mins,very_active_mins
1503960366,18982,5828,507,948
1644430081,3682,965,78,10
1844505072,1330,435,7,0
1927972279,4886,425,0,0
2026352035,18311,7182,8,3
2320127002,1129,242,0,0
2347167796,9426,3688,242,138
3977333714,20054,5083,1716,555
4020332650,6735,1748,124,120
4319703577,16710,6352,320,68
4388161847,17139,5528,472,632
4445114986,22045,5875,48,180
4558609924,5142,1340,126,99
4702921684,18828,6903,642,145
5553957443,20719,6392,403,726
5577150313,17350,4289,868,2545
6117666160,9575,6474,44,44
6775888955,2892,248,42,31
6962181067,20532,7620,574,707
7007744171,2297,440,0,0
7086361926,17368,3815,662,1139
8053475328,2512,529,39,335
8378563200,22200,4839,318,1819
8792009665,12117,2542,109,25
